1	1	0.4	5	5	5	5	5	5
1	0.3	0.2	5	4	5	5	5	5
1	2	0.45	5	5	5	5	5	5
1	0.5	1.15	5	5	5	5	5	5
-1	1	0.2	1	1	1	1	1	1
1	2	0.8	5	5	4	5	5	5
1	0.8	1.1	5	5	5	5	5	5
1	0.3	1.05	4	5	5	5	4	5
0	0.8	0.7	5	4	5	3	5	5
1	0.5	0.75	5	5	5	5	5	5
1	0.8	0.8	5	5	5	4	5	5
-1	0.8	0.25	1		1	1	1	1
1	1	1.1	3	5	5	5	1	5
1	0.8	0.9	5	2	5	5	5	5
1	1	1.25	5	5	5	3	5	5
-1	0.8	0.2	1		1	1	1	1
1	1	0.6	5	5	4	5	5	5
1	0.5	0.45	5	5	5	5	5	5
1	0.3	0.25	4	5	5	5	4	5
0	0.8	0.4	5	4	5	3	5	5
-1	0.8	0.2	4	3	3	5	4	5
1	0.8	0.7	5	5	5	5	5	3
1	0.3	0.75	5	5	5	5	5	5
0	0.8	0.8	5	4	5	5	5	5
1	0.3	1.05	5	5	4	5	5	5
1	0.8	1.1	5	5	5	5	5	5
-1	0.3	0.2	1	1	1	1	1	1
1	0.8	1.6	5	2	5	5	5	5
1	0.3	1.2	5	5	5	3	5	5
1	0.3	0.45	5	5	5	5	5	5
